CA Number,ID,Collection,Site,Ware,3D model
CA230334,C12941,Museo del Oro,Colombia ,Capulí,https://sketchfab.com/3d-models/ca230334-c12941-27fe9c2ff5e6452088d9f55ab33ecaca
CA230335,C14003,Museo del Oro,Colombia - ,Tuza,https://sketchfab.com/3d-models/ca230335-c14003-1e5ca80003b442aab3cabe8b627b9d27
CA230336,C14000,Museo del Oro,Colombia - Desconocido ,Piartal - 2,https://sketchfab.com/3d-models/ca230336-c14000-7f07449c8fec495c87a5c81d2e90d11a
CA230337,C05519,Museo del Oro,Nariño (Colombia) ,Piartal - 2,https://sketchfab.com/3d-models/ca230337-c05519-4175eb707f724c38bba8619b11adb056
CA230338,C13983,Museo del Oro,Colombia ,Piartal - 2,https://sketchfab.com/3d-models/ca230338-c13983-01ab16f3da2b4713a562d28e0c4dc78f
CA230339,C13992,Museo del Oro,Colombia ,Piartal - 1,https://sketchfab.com/3d-models/ca230339-c13992-314d7027bc20400697ef24cda5cdedb0
CA230340,C12934,Museo del Oro,Colombia ,Capulí,https://sketchfab.com/3d-models/ca230340-c12934-8785d13c1c7b4cdc807379d7ceb0ab33
CA230341,C06213,Museo del Oro,"Pupiales (Colombia, Nariño) ",Tuza,https://sketchfab.com/3d-models/ca230341-c06213-03eba93700364f759d4cbfe63e40e638
CA230343,C05533,Museo del Oro,Nariño (Colombia) ,Tuza,https://sketchfab.com/3d-models/ca230343-c05533-95624aab8b0a4f9f864ff2a9e3492a97
CA230344,C05531,Museo del Oro,Nariño (Colombia) ,Tuza,https://sketchfab.com/3d-models/ca230344-c05531-17cb87feeb8248ffb506b5a3576da60f
CA230345,C14001,Museo del Oro,Colombia ,Tuza,https://sketchfab.com/3d-models/ca230345-c14001-c97305b5f368451990b7b8c685c19ae1
CA230347,C13752,Museo del Oro,Nariño (Colombia) ,Piartal - 2,https://sketchfab.com/3d-models/ca230347-c13752-f7cf007face94be08a63c0b6e716fedc
CA230348,C04870,Museo del Oro,Colombia,Capulí,https://sketchfab.com/3d-models/ca230348-c04870-49db99f7140c4b26b385d83f12aa4aa3
CA230349,C05539,Museo del Oro,Nariño (Colombia) ,Capulí,https://sketchfab.com/3d-models/ca230349-c05539-43994349967e40179832ba0acb6f9205
CA230350,C09908,Museo del Oro,Nariño (Colombia) ,Capulí,https://sketchfab.com/3d-models/ca230350-c09908-6987326b4cd74b638eb5df533d0c50c8
CA230352,C03989,Museo del Oro,"Pupiales (Colombia, Nariño) ",Piartal - 1,https://sketchfab.com/3d-models/ca230352-c03989-a327d45106214c478d55f516f6d9b053
CA230353,C06216,Museo del Oro,"Pupiales (Colombia, Nariño)",Tuza,https://sketchfab.com/3d-models/ca230352-c03989-a327d45106214c478d55f516f6d9b053
CA230354,C05511,Museo del Oro,Nariño (Colombia) ,Tuza,https://sketchfab.com/3d-models/ca230354-c05511-3b271cff29604a0e9bdc7d4a29a15075
CA230355,459,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230355-459-5be8ccda9c00474b8633a9c983782910
CA230356,30,Union del Sur,Site 8 - Catambuco,Piartal - 1,https://sketchfab.com/3d-models/ca230356-30-cc5db3612fd14b6bb4dd710ead1a603f
CA230357,22,Union del Sur,Site 8 - Catambuco,Piartal - 2,https://sketchfab.com/3d-models/ca230357-22-f6ffc416e9234d9d81dcb191626f601b
CA230358,462,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230358-462-8402c22e4d354ebd87a4bf629e2f5949
CA230359,457,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230359-457-37d83e53e1304524a0ac2d81dd03dfb3
CA230360,28,Union del Sur,Site 8 - Catambuco,Piartal - 1,https://sketchfab.com/3d-models/ca230360-28-ae5407b3145b42a7a43244965a7af3b4
CA230361,35,Union del Sur,Site 8 - Catambuco,Piartal - 1,https://sketchfab.com/3d-models/ca230361-35-37dbe27d1604452bbe67c983887848ba
CA230362,45,Union del Sur,Site 8 - Catambuco,Piartal - 1,https://sketchfab.com/3d-models/ca230362-45-d78f68c0977d4d9ab89066bd4793d435
CA230363,437,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230363-437-4bfef14d599d4767af054442edfed220
CA230364,61,Union del Sur,Site 8 - Catambuco,Piartal - 1,https://sketchfab.com/3d-models/ca230364-61-9b769690dc9c4d54af5b2cea160919af
CA230365,266,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230365-266-197369790e6a41d78260a1772ff7d383
CA230366,262,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230366-262-19ce31d0580b4778acd104f6ff468c7f
CA230369,21,Union del Sur,Site 8 - Catambuco,Piartal - 1,https://sketchfab.com/3d-models/ca230369-21-390dce0a59b24db79f8a6bf1fb114746
CA230370,32,Union del Sur,Site 8 - Catambuco,Piartal - 1,https://sketchfab.com/3d-models/ca230370-32-7713ec14cdd64ccdbf074c25f8817932
CA230372,365,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí - no paint,https://sketchfab.com/3d-models/ca230372-365-1f676c830cfc410faca84cfcee994597
CA230373,373,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230373-373-7e5a2ee044444496ac9fe8cdaacb2fbe
CA230374,345,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230374-345-9e22dcb33b004248ae968a43d9c1ff61
CA230375,350,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí - no paint,https://sketchfab.com/3d-models/ca230375-350-7a2309a21a934489a313c94ecbee39da
CA230376,367,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230376-367-8478f6abfe4048809ca83e47d69e8893
